# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16419
#@/user_id	2a0bc472-4445-4d93-8ddf-986d757ebe5b
a 	啊	c=94 d=1.01937 t=16418
yi zhong 	一种	c=3 d=0.000606922 t=16418
yin 	因	c=2 d=1.98958e-05 t=16418
yin 	音	c=1 d=4.95641e-08 t=16418
yin hang 	银行	c=1 d=1 t=8879
yin huan 	隐患	c=2 d=1.91851 t=8098
yin liao 	饮料	c=4 d=5.20245e-06 t=16418
yin pin 	饮品	c=1 d=1.75157e-06 t=16418
yin qing 	引擎	c=1 d=1 t=12565
yin shi 	饮食	c=2 d=6.56209e-05 t=16418
yin si 	隐私	c=3 d=1.88979e-09 t=16418
yin su 	因素	c=2 d=0.000217638 t=16418
yin wei 	因为	c=2 d=1 t=14644
yin xiao 	音效	c=1 d=1 t=5269
yin xing 	音型	c=1 d=1.65012e-10 t=16418
yin yong 	引用	c=1 d=1 t=8626
yin yue 	音乐	c=1 d=1 t=6686
ying 	应	c=2 d=1.02364 t=14351
ying 	硬	c=0 d=8.61148e-08 t=16418
ying fu 	营服	c=57 d=3.43792 t=16287
ying gai 	应该	c=26 d=0.574147 t=16418
ying gang gang 	硬杠杠	c=1 d=8.65464e-07 t=16418
ying jian 	硬件	c=2 d=1.03239 t=6649
ying jie 	应届	c=2 d=0.000611253 t=16418
ying jie sheng 	应届生	c=2 d=4.57574e-10 t=16418
ying lai song wang 	迎来送往	c=1 d=0.0025415 t=16418
ying pan 	硬盘	c=2 d=1.06173 t=9669
ying shou 	营收	c=1 d=1.27519e-07 t=16418
ying wei da 	英伟达	c=3 d=0.0479863 t=16418
ying wen 	英文	c=4 d=4.20196e-06 t=16418
ying xiang 	影响	c=6 d=0.0222573 t=16418
ying xiao 	营销	c=7 d=0.0793432 t=16418
ying xiao bu 	营销部	c=2 d=1.1159 t=6508
ying xiong 	英雄	c=2 d=2.40672e-09 t=16418
ying xiong lian meng 	英雄联盟	c=1 d=1 t=6134
ying yang 	营养	c=2 d=7.09395e-05 t=16418
ying ye 	营业	c=1 d=1 t=6528
ying ye ting 	营业厅	c=3 d=1 t=8717
ying yong 	应用	c=9 d=1.13506e-05 t=16418
ying yu 	英语	c=1 d=1.70038e-10 t=16418
yong 	勇	c=0 d=0.0216536 t=16418
yong 	永	c=1 d=9.75974e-09 t=16418
yong 	用	c=17 d=0.962982 t=16418
yong chu 	用处	c=2 d=1.9559e-10 t=16418
yong de 	用的	c=2 d=2.46681e-05 t=16418
yong fa 	用法	c=0 d=6.26833e-07 t=16418
yong gan 	勇敢	c=0 d=0.1 t=5094
yong gan yong gan 	勇敢勇敢	c=1 d=1 t=5095
yong guo 	用过	c=1 d=1 t=15528
yong hu 	用户	c=31 d=0.00506842 t=16418
yong hu ji 	用户级	c=1 d=1 t=6682
yong hu ming 	用户名	c=1 d=9.97928e-06 t=16418
yong hu shu 	用户数	c=1 d=1 t=11080
yong lai 	用来	c=1 d=1 t=6201
yong wan 	用完	c=1 d=1 t=6783
yong zhe 	勇者	c=0 d=3.54551e-09 t=16418
yong zhe ge 	用这个	c=1 d=1 t=12136
you 	优	c=3 d=1.00011 t=11155
you 	又	c=11 d=0.0138634 t=16418
you 	有	c=52 d=1.51252 t=16418
you 	由	c=2 d=1.90484 t=9041
you bi yao 	有必要	c=1 d=0.185444 t=16418
you ci 	由此	c=1 d=1 t=13924
you de 	有的	c=2 d=0.0130365 t=16418
you dian 	有点	c=15 d=1.42705 t=16418
you duo 	有多	c=1 d=1 t=9626
you er yuan 	幼儿园	c=1 d=1 t=11325
you fa zhan 	有发展	c=1 d=1 t=12709
you ge 	有个	c=5 d=0.00377257 t=16418
you gou 	有够	c=1 d=0.00163682 t=16418
you hou 	油候	c=1 d=1 t=9588
you hua 	优化	c=7 d=0.00895987 t=16418
you jia 	尤嘉	c=2 d=0.00541462 t=16418
you jian 	右键	c=3 d=1.00178 t=8049
you lai 	又来	c=1 d=1 t=8338
you lei si 	有类似	c=1 d=1 t=8967
you liang 	有两	c=0 d=0.1 t=15890
you liang ben 	有两本	c=1 d=1 t=15891
you mei you 	有没有	c=8 d=0.953799 t=16418
you ni 	有你	c=1 d=0.0675424 t=16418
you pian 	诱骗	c=1 d=1 t=13786
you qian 	有钱	c=2 d=0.0430669 t=16418
you qu 	有趣	c=2 d=0.0335406 t=16418
you sha 	有啥	c=1 d=0.0812682 t=16418
you shen me 	有什么	c=1 d=1 t=7161
you shi 	有事	c=1 d=0.108067 t=16418
you shi 	有时	c=1 d=7.13856e-06 t=16418
you shi hou 	有时候	c=1 d=1 t=5483
you suo 	有所	c=3 d=1.20516e-05 t=16418
you wu 	有无	c=1 d=1 t=7157
you xi 	游戏	c=9 d=0.0304727 t=16418
you xian 	优先	c=1 d=1 t=13046
you xian 	有线	c=3 d=1.27239 t=13453
you xian 	有限	c=3 d=0.00348252 t=16418
you xian cheng 	有现成	c=1 d=1 t=9761
you xiang 	邮箱	c=1 d=1 t=5122
you xiao xing 	有效性	c=1 d=1 t=8588
you xie 	有些	c=8 d=1 t=16107
you xie ren 	有些人	c=1 d=0.0010333 t=16418
you yi 	有一	c=0 d=0.1 t=15320
you yi bu fen 	有一部分	c=2 d=1.76338 t=15375
you yi fen 	有一份	c=2 d=1 t=15372
you yi ge 	有一个	c=1 d=1 t=14576
you yi xie 	有一些	c=2 d=1.91393 t=15351
you yi zhong 	有一种	c=1 d=1 t=4808
you yong 	有用	c=1 d=1 t=8282
you yu 	由于	c=6 d=1.00113 t=14922
you zai 	又在	c=1 d=1 t=5016
you zheng 	邮政	c=2 d=4.06708e-05 t=16418
you zhi 	油脂	c=2 d=1.90937 t=4945
yu 	与	c=42 d=0.219344 t=16418
yu 	于	c=10 d=0.000165763 t=16418
yu 	余	c=1 d=1 t=13216
yu 	喻	c=19 d=2.76341 t=15922
yu 	渔	c=1 d=1 t=13712
yu bi 	育碧	c=1 d=1 t=4764
yu cai 	育才	c=1 d=1 t=14397
yu dao 	遇到	c=3 d=1 t=12172
yu di 	余地	c=1 d=1 t=6715
yu e 	余额	c=1 d=0.0023344 t=16418
yu fa 	语法	c=1 d=6.45923e-06 t=16418
yu fang xing 	预防性	c=1 d=1 t=12782
yu geng 	余耕	c=1 d=1 t=13161
yu hao hao 	喻浩浩	c=1 d=1 t=14666
yu hong 	玉虹	c=1 d=5.70122e-08 t=16418
yu kong 	域控	c=1 d=0.25284 t=16418
yu mi 	玉米	c=1 d=4.79669e-05 t=16418
yu ming 	域名	c=10 d=0.376763 t=16418
yu qi 	预期	c=1 d=3.57189e-07 t=16418
yu que 	语雀	c=2 d=0.0682212 t=16418
yu rou 	鱼肉	c=2 d=9.67431e-05 t=16418
yu suan 	预算	c=2 d=1.93239 t=10745
yu yan 	语言	c=8 d=0.0652677 t=16418
yu yin 	语音	c=2 d=6.72398e-08 t=16418
yuan 	元	c=1 d=1 t=16198
yuan 	原	c=1 d=1 t=11299
yuan 	员	c=4 d=0.0401553 t=16418
yuan 	园	c=1 d=1 t=12353
yuan 	愿	c=1 d=5.6173e-10 t=16418
yuan 	源	c=5 d=1.01279 t=13297
yuan 	袁	c=2 d=1.99005 t=14630
yuan 	远	c=2 d=4.53663e-08 t=16418
yuan ban 	原版	c=1 d=1.07065e-09 t=16418
yuan biao 	原表	c=1 d=1 t=13296
yuan cheng 	远程	c=9 d=1.0049 t=15848
yuan dan 	元旦	c=4 d=1.05003 t=16418
yuan gong 	员工	c=4 d=0.00963276 t=16418
yuan jian 	元件	c=1 d=3.05216e-10 t=16418
yuan jian 	原件	c=2 d=4.16017e-08 t=16418
yuan jiao 	圆角	c=2 d=1.99005 t=14071
yuan lai 	原来	c=2 d=0.00557201 t=16418
yuan li 	原理	c=1 d=2.91786e-10 t=16418
yuan ma 	员吗	c=1 d=1 t=6124
yuan sheng 	原生	c=0 d=0.1 t=5230
yuan shu ju 	元数据	c=1 d=1 t=9859
yuan yi 	愿意	c=1 d=1.09851 t=6576
yuan yin 	原因	c=3 d=1 t=10554
yuan yuan 	远远	c=1 d=1 t=5420
yuan zai 	远在	c=2 d=0.00019818 t=16418
yuan ze 	原则	c=2 d=1.00011 t=6409
yue 	月	c=83 d=2.08878 t=16418
yue 	约	c=2 d=4.02798e-09 t=16418
yue 	越	c=2 d=0.346456 t=16418
yue 	阅	c=1 d=1 t=6742
yue bao 	月报	c=23 d=3.91379 t=16099
yue di 	月底	c=3 d=1.04097 t=15825
yue du 	月度	c=1 d=1 t=8390
yue du 	阅读	c=4 d=0.000248517 t=16418
yue fen 	月份	c=8 d=3.43733 t=15688
yue shao 	越少	c=1 d=1 t=4876
yue shuo 	越说	c=1 d=0.344728 t=16418
yun 	云	c=14 d=0.0821644 t=16418
yun an quan 	云安全	c=2 d=1.44933 t=14660
yun dong 	运动	c=1 d=1 t=6838
yun fu wu 	云服务	c=1 d=4.28813e-10 t=16418
yun ji suan 	云计算	c=1 d=1 t=7525
yun nan 	云南	c=2 d=0.000175132 t=16418
yun qi 	孕期	c=0 d=0.1 t=12758
yun shan fu 	云闪付	c=1 d=1 t=8886
yun shu 	运输	c=1 d=1 t=15039
yun wang 	云网	c=2 d=1.84765 t=12668
yun wang zhong xin 	云网中心	c=1 d=1 t=12669
yun wen dang 	云文档	c=2 d=1.99501 t=6845
yun xing 	运行	c=7 d=2.56096e-05 t=16418
yun xu 	允许	c=1 d=0.000211772 t=16418
yun ying 	运营	c=1 d=1 t=14249
yun ying shang 	运营商	c=9 d=0.216536 t=16418
za 	咋	c=7 d=1.01916 t=12673
za 	杂	c=1 d=3.79277e-07 t=16418
za kan 	咋看	c=1 d=1 t=14789
za le 	咋了	c=1 d=1 t=12955
za shi 	咋是	c=1 d=0.036334 t=16418
za shu 	杂书	c=1 d=1 t=6728
za si 	咋死	c=1 d=0.0728029 t=16418
zai 	再	c=15 d=0.482198 t=16418
zai 	在	c=140 d=4.53563 t=16418
zai jia 	在家	c=3 d=0.0438888 t=16418
zai lai 	再来	c=1 d=1 t=5060
zai le 	在了	c=1 d=1 t=6416
zai shuo 	再说	c=1 d=1 t=6353
zai wai 	在外	c=0 d=0.1 t=12957
zai wai di 	在外地	c=1 d=1 t=12958
zai wo 	在我	c=1 d=1 t=10616
zai xian 	在线	c=7 d=3.51871e-07 t=16418
zai ye 	再也	c=1 d=0.477114 t=16418
zai zhe 	在这	c=1 d=1 t=12156
zan 	咱	c=2 d=0.873716 t=16418
zan ding 	暂定	c=1 d=1 t=7673
zan le 	赞了	c=1 d=0.0219278 t=16418
zan men 	咱们	c=1 d=1 t=12820
zan shi 	暂时	c=2 d=1.00004 t=10601
zan yao 	咱要	c=1 d=0.000804733 t=16418
zan zhe 	赞着	c=1 d=1 t=9177
zang 	藏	c=1 d=2.17695e-05 t=16418
zang kuan 	赃款	c=1 d=1.16263e-08 t=16418
zang yu 	脏与	c=1 d=1.81834e-05 t=16418
zang yu 	藏语	c=1 d=1.82746e-05 t=16418
zao 	早	c=2 d=0.00277367 t=16418
zao 	澡	c=1 d=1 t=6304
zao can 	早餐	c=9 d=0.011218 t=16418
zao can dian 	早餐店	c=1 d=1 t=11479
zao ci 	造词	c=1 d=1.76095e-10 t=16418
zao dian 	早点	c=3 d=0.941437 t=16418
zao gao 	糟糕	c=1 d=1 t=6338
zao guo le 	早过了	c=1 d=0.0278757 t=16418
zao jiu 	早就	c=1 d=1 t=6358
zao ju 	造句	c=1 d=1.81457e-10 t=16418
zao shang 	早上	c=1 d=1 t=11240
zao shang qi chuang 	早上起床	c=1 d=1.58488e-06 t=16418
zao xing 	造型	c=1 d=0.00236968 t=16418
ze 	则	c=2 d=8.61294e-09 t=16418
ze ren 	责任	c=1 d=1 t=5162
zei 	贼	c=2 d=1 t=15211
zen me 	怎么	c=15 d=1.21242 t=16418
zen me hai shi 	怎么还是	c=1 d=5.13382e-10 t=16418
zen me yong 	怎么用	c=4 d=0.0689068 t=16418
zen yang 	怎样	c=1 d=1 t=6731
zeng 	曾	c=3 d=1.2334 t=15562
zeng hui 	曾会	c=4 d=1 t=15579
zeng jia 	增加	c=1 d=1 t=11302
zhan 	站	c=7 d=0.781605 t=16418
zhan bi 	占比	c=1 d=1 t=7979
zhan di 	战地	c=3 d=0.0180449 t=16418
zhan jian 	战剑	c=1 d=1 t=14374
zhan yong 	占用	c=8 d=1.05388 t=16418
zhan yong lv 	占用率	c=1 d=1 t=16170
zhan zai 	站在	c=1 d=1 t=5081
zhang 	帐	c=2 d=0.0071546 t=16418
zhang 	张	c=9 d=1.99133 t=15932
zhang 	章	c=1 d=1.65783e-06 t=16418
zhang ai 	障碍	c=1 d=1 t=14912
zhang ben 	账本	c=1 d=0.00577048 t=16418
zhang chen 	张晨	c=1 d=1 t=14728
zhang hao 	帐号	c=1 d=1 t=14930
zhang hu 	账户	c=5 d=1.00011 t=11902
zhang hu mi ma 	账户密码	c=1 d=1 t=9919
zhang jia 	张佳	c=4 d=1.00835 t=14065
zhang mu 	账目	c=4 d=0.0194555 t=16418
zhang pang 	长胖	c=1 d=1 t=6438
zhang xiao 	张小	c=3 d=1.08249 t=14381
zhang xiao hua 	张小华	c=7 d=1.00028 t=16189
zhao 	找	c=21 d=0.0959857 t=16418
zhao 	招	c=1 d=1 t=5747
zhao 	照	c=1 d=1 t=10678
zhao bu dao 	找不到	c=2 d=0.0164078 t=16418
zhao dao 	找到	c=5 d=1.43247 t=16418
zhao dao le 	找到了	c=1 d=1 t=6786
zhao fen 	找份	c=1 d=5.77244e-07 t=16418
zhao ge 	找个	c=1 d=1 t=8671
zhao gong zuo 	找工作	c=1 d=1 t=4719
zhao kai 	召开	c=1 d=1.65411e-09 t=16418
zhao le 	找了	c=1 d=1 t=5296
zhao pin 	招聘	c=5 d=0.000880518 t=16418
zhao pin gong gao 	招聘公告	c=1 d=2.4617e-10 t=16418
zhao pin hui 	招聘会	c=1 d=0.00514361 t=16418
zhao yang 	照样	c=1 d=0.0366992 t=16418
zhao yi xia 	找一下	c=1 d=1 t=14179
zhao zhao 	找找	c=1 d=0.100041 t=8351
zhe 	着	c=2 d=1 t=11783
zhe 	者	c=3 d=0.00188095 t=16418
zhe 	这	c=44 d=0.387704 t=16418
zhe bian 	这边	c=15 d=0.0650603 t=16418
zhe er 	这儿	c=1 d=1.63343e-08 t=16418
zhe gao xia 	这搞下	c=1 d=0.0169075 t=16418
zhe ge 	这个	c=70 d=1.01 t=16418
zhe ge yan shou 	这个验收	c=1 d=1 t=13316
zhe hen nan 	这很难	c=1 d=1 t=12876
zhe hui 	这回	c=1 d=1 t=8358
zhe ke 	这可	c=2 d=1.54881 t=6446
zhe kuai 	这块	c=1 d=1 t=7156
zhe li 	这里	c=3 d=2.02978e-05 t=16418
zhe liang 	这两	c=0 d=0.1 t=5774
zhe liang ge 	这两个	c=1 d=1 t=16357
zhe liang nian 	这两年	c=1 d=1 t=5775
zhe me 	这么	c=8 d=0.0873176 t=16418
zhe me cai 	这么菜	c=1 d=5.15956e-10 t=16418
zhe me duo 	这么多	c=1 d=1 t=6485
zhe que shi 	这确实	c=1 d=3.10525e-07 t=16418
zhe shi 	这是	c=9 d=1.16122 t=16419
zhe shi cong 	这是从	c=1 d=1 t=8930
zhe shi jie 	这世界	c=1 d=1 t=6427
zhe shi xi 	这实习	c=1 d=0.120032 t=16418
zhe shuo ming 	这说明	c=1 d=4.89359e-05 t=16418
zhe teng 	折腾	c=2 d=0.00845066 t=16418
zhe wei 	这位	c=1 d=1 t=15516
zhe xie 	这些	c=1 d=2.06649e-10 t=16418
zhe yang 	这样	c=6 d=0.0276843 t=16418
zhe yang shuo 	这样说	c=1 d=1 t=5411
zhe ye 	这也	c=2 d=0.000476044 t=16418
zhe yi 	这一	c=0 d=1.32746e-10 t=16418
zhe yi bo 	这一波	c=2 d=0.0305009 t=16418
zhe yi lie 	这一列	c=1 d=1 t=6912
zhe you 	这有	c=1 d=1 t=9169
zhe you dian 	这有点	c=1 d=0.0417941 t=16418
zhe zhang 	这张	c=1 d=1 t=7552
zhe zhong 	这种	c=3 d=0.00112002 t=16418
zhen 	真	c=7 d=0.0234005 t=16418
zhen 	针	c=2 d=0.0593517 t=16418
zhen 	镇	c=7 d=2.21703 t=13188
zhen bu 	真不	c=0 d=6.31606e-08 t=16418
zhen bu yi ding 	真不一定	c=1 d=6.34772e-07 t=16418
zhen de 	真的	c=3 d=1 t=8359
zhen di 	真滴	c=2 d=1.50662 t=15639
zhen dui 	针对	c=2 d=1.99501 t=12224
zhen shi 	真是	c=3 d=1.67186 t=6447
zhen shu 	帧数	c=3 d=1.77462 t=9688
zheng 	整	c=1 d=1 t=5880
zheng 	证	c=4 d=3.17534e-08 t=16418
zheng 	郑	c=1 d=1 t=13257
zheng chang 	正常	c=8 d=1.00768 t=12991
zheng chu 	整出	c=1 d=0.0244143 t=16418
zheng chu lai 	整出来	c=1 d=0.245367 t=16418
zheng fu 	政府	c=2 d=2.74476e-08 t=16418
zheng ji 	整机	c=2 d=1.86936 t=10763
zheng jian 	证件	c=1 d=1.81896e-09 t=16418
zheng jing 	正经	c=2 d=5.83046e-07 t=16418
zheng jiu 	拯救	c=1 d=1 t=8040
zheng li 	整理	c=13 d=1.263 t=15865
zheng mian 	正面	c=1 d=1 t=9465
zheng qi 	政企	c=6 d=3.72251 t=16164
zheng qian 	挣钱	c=1 d=1 t=5650
zheng qu 	争取	c=1 d=1 t=9229
zheng que 	正确	c=1 d=1.73631e-05 t=16418
zheng que zi 	正确字	c=1 d=1.72103e-05 t=16418
zheng shi 	正式	c=1 d=4.78593e-08 t=16418
zheng shu 	证书	c=9 d=0.0356146 t=16418
zheng ti 	整体	c=3 d=1.00001 t=16324
zheng zai 	正在	c=2 d=1 t=11333
zheng ze 	正则	c=12 d=5.01747e-05 t=16418
zheng ze biao da shi 	正则表达式	c=1 d=9.90724e-09 t=16418
zheng zhi 	整治	c=3 d=2.60237 t=8099
zheng zhou 	郑州	c=1 d=1.72966e-05 t=16418
zheng zhun bei 	正准备	c=1 d=2.36477e-08 t=16418
zhi 	之	c=5 d=6.43215e-05 t=16418
zhi 	值	c=1 d=1.09005 t=7602
zhi 	制	c=2 d=0.0689068 t=16418
zhi 	只	c=9 d=0.579023 t=16418
zhi 	志	c=1 d=1 t=10526
zhi 	指	c=1 d=1 t=6929
zhi 	智	c=5 d=1.9994 t=14089
zhi 	直	c=0 d=0.1 t=12817
zhi 	至	c=7 d=1.00118 t=15973
zhi ban 	只办	c=1 d=1 t=5835
zhi bao cun 	只保存	c=1 d=1 t=8590
zhi bei 	指北	c=1 d=1.51932e-09 t=16418
zhi bei 	纸杯	c=1 d=1 t=4826
zhi biao 	制表	c=1 d=0.066205 t=16418
zhi biao 	治标	c=1 d=1 t=4756
zhi bo 	直播	c=2 d=1.99501 t=5176
zhi cheng 	支撑	c=28 d=1.00982 t=15840
zhi cheng zhong xin 	支撑中心	c=1 d=1 t=8537
zhi chi 	支持	c=4 d=2.06996e-09 t=16418
zhi dao 	指导	c=3 d=1.99505 t=9935
zhi dao 	知道	c=13 d=0.0412913 t=16418
zhi dao le 	知道了	c=2 d=1.28842e-06 t=16418
zhi de 	值得	c=1 d=1 t=9160
zhi di 	之地	c=1 d=1 t=6154
zhi ding 	指定	c=3 d=1.9517e-05 t=16418
zhi ding 	置顶	c=1 d=1 t=8326
zhi fa 	之法	c=2 d=6.05757e-05 t=16418
zhi fu 	支付	c=1 d=1 t=5115
zhi guo 	治国	c=1 d=1 t=11611
zhi hou 	之后	c=6 d=0.0107269 t=16418
zhi hu 	知乎	c=6 d=0.79931 t=16418
zhi hua 	只花	c=1 d=0.50409 t=16418
zhi hui 	只会	c=1 d=1 t=5983
zhi hui 	智慧	c=2 d=1.8825 t=14248
zhi jia 	支架	c=1 d=1 t=12568
zhi jia 	智家	c=2 d=1.97531 t=14887
zhi jian 	之间	c=1 d=1 t=5672
zhi jian guo 	只见过	c=1 d=0.106992 t=16418
zhi jiao 	职教	c=1 d=1 t=10230
zhi jie 	直接	c=12 d=7.31826e-06 t=16418
zhi jin 	纸巾	c=1 d=0.0550232 t=16418
zhi jin 	至今	c=1 d=1 t=16047
zhi lian 	智联	c=1 d=3.20037e-09 t=16418
zhi liang 	质量	c=5 d=1.00343 t=9722
zhi liu 	支流	c=1 d=1.93078e-05 t=16418
zhi nan 	指南	c=1 d=1 t=11208
zhi neng 	只能	c=11 d=0.0545868 t=16418
zhi pei 	只配	c=1 d=1 t=4776
zhi qian 	之前	c=4 d=1.00031 t=12080
zhi shao 	至少	c=2 d=0.367879 t=16418
zhi shi 	只是	c=9 d=1.04407 t=16418
zhi shi 	知识	c=1 d=1.69599e-09 t=16418
zhi tong yao 	止痛药	c=1 d=1.56911e-06 t=16418
zhi wang 	之王	c=1 d=2.00024e-09 t=16418
zhi wen 	指纹	c=1 d=1 t=5114
zhi wu 	植物	c=1 d=5.14449e-05 t=16418
zhi xiang 	只想	c=1 d=0.1764 t=16418
zhi xin 	之心	c=1 d=1 t=9278
zhi xing 	执行	c=4 d=0.00200924 t=16418
zhi yao 	只要	c=2 d=0.280832 t=16418
zhi ye 	职业	c=1 d=1.34706e-05 t=16418
zhi ye ji neng 	职业技能	c=1 d=1.32039e-05 t=16418
zhi yi 	之一	c=2 d=0.000163292 t=16418
zhi yin 	指引	c=2 d=1.956 t=12773
zhi yong 	只用	c=1 d=5.08101e-06 t=16418
zhi you 	只有	c=11 d=0.0180431 t=16418
zhi zhan 	之战	c=1 d=5.13295e-08 t=16418
zhi zun 	至尊	c=1 d=1 t=14373
zhi zuo 	制作	c=8 d=6.86417e-05 t=16418
zhong 	中	c=52 d=0.0943678 t=16418
zhong 	众	c=1 d=0.00339653 t=16418
zhong de 	中的	c=1 d=0.000261259 t=16418
zhong dian 	重点	c=1 d=1 t=12760
zhong duan 	终端	c=1 d=1 t=10374
zhong gong 	中公	c=1 d=2.03572e-10 t=16418
zhong guo 	中国	c=28 d=0.586017 t=16418
zhong guo yue bao 	中国月报	c=1 d=1 t=10445
zhong jiang 	中奖	c=2 d=1.99501 t=5179
zhong kan 	中看	c=1 d=1 t=11430
zhong shang 	重伤	c=3 d=5.38128e-05 t=16418
zhong shi 	忠实	c=1 d=4.33123e-10 t=16418
zhong wen 	中文	c=6 d=0.0636249 t=16418
zhong wen wang 	中文网	c=1 d=1 t=11519
zhong wu 	中午	c=3 d=2.1939e-08 t=16418
zhong xin 	中心	c=13 d=8.80942e-07 t=16418
zhong yi 	中移	c=1 d=1 t=14995
zhong yi tie tong 	中移铁通	c=2 d=4.39965e-10 t=16418
zhong ying 	中英	c=1 d=1.73473e-10 t=16418
zhong yu 	终于	c=4 d=0.0127079 t=16418
zhou 	周	c=4 d=1.00037 t=15139
zhou bao 	周报	c=4 d=1.91422 t=16150
zhou bian 	周边	c=4 d=1.02219 t=14404
zhou jie lun 	周杰伦	c=1 d=1 t=9162
zhou qi 	周期	c=2 d=1 t=10049
zhu 	住	c=1 d=1 t=13219
zhu 	朱	c=1 d=1 t=14180
zhu 	煮	c=1 d=1.59337e-11 t=16418
zhu 	祝	c=3 d=1.99501 t=14698
zhu 	筑	c=1 d=1 t=10414
zhu ban 	主板	c=1 d=1 t=12556
zhu ce 	注册	c=2 d=5.09503e-09 t=16418
zhu ce biao 	注册表	c=2 d=1.99501 t=11922
zhu dong 	主动	c=1 d=1 t=4819
zhu gan 	主干	c=23 d=1.50516 t=16115
zhu ji 	主机	c=2 d=0.000305061 t=16418
zhu jian 	逐渐	c=2 d=0.000228797 t=16418
zhu pai gu 	煮排骨	c=1 d=1.60136e-10 t=16418
zhu rong 	祝融	c=3 d=2.95064 t=14735
zhu shi 	注释	c=2 d=0.00109172 t=16418
zhu shou 	助手	c=1 d=1 t=8135
zhu ti 	主题	c=1 d=7.43115e-08 t=16418
zhu tian yi 	朱天翼	c=1 d=1 t=4802
zhu yao 	主要	c=14 d=0.000871163 t=16418
zhu ye 	主页	c=1 d=4.11859e-06 t=16418
zhu yi 	主义	c=1 d=1.47824e-10 t=16418
zhu yi 	注意	c=6 d=0.0803145 t=16418
zhu yi dao 	注意到	c=2 d=1.37158 t=9020
zhu zai 	住在	c=1 d=1.04656e-06 t=16418
zhu zuo 	著作	c=2 d=5.93762e-05 t=16418
zhua 	抓	c=1 d=1 t=7946
zhua qu 	抓取	c=3 d=3.65359e-05 t=16418
zhuan 	传	c=1 d=0.00210172 t=16418
zhuan 	转	c=7 d=0.0602713 t=16418
zhuan bian 	转变	c=1 d=1 t=12635
zhuan fa 	转发	c=3 d=1.00976 t=14720
zhuan gu 	转固	c=1 d=1 t=14790
zhuan men 	专门	c=2 d=1 t=12653
zhuan qian 	赚钱	c=1 d=1.09753 t=6096
zhuan ru 	转入	c=1 d=1 t=11591
zhuan xian 	专线	c=1 d=1 t=11289
zhuan xing 	转型	c=1 d=1 t=12628
zhuan ye 	专业	c=6 d=3.03693e-06 t=16418
zhuan ye ke 	专业课	c=1 d=3.68067e-07 t=16418
zhuan ye ke cheng 	专业课程	c=1 d=2.7206e-10 t=16418
zhuan yi 	转义	c=1 d=1.19783e-06 t=16418
zhuan yong 	专用	c=1 d=4.55329e-10 t=16418
zhuan zhang 	转账	c=4 d=0.00619433 t=16418
zhuang 	装	c=2 d=0.738546 t=16418
zhuang bei 	装备	c=4 d=0.042641 t=16418
zhuang de 	装的	c=1 d=0.00151098 t=16418
zhuang tai 	状态	c=25 d=2.15608 t=16387
zhun 	准	c=3 d=1 t=14053
zhun bei 	准备	c=3 d=0.774916 t=16418
zhun que 	准确	c=1 d=0.215325 t=9805
zhuo mian 	桌面	c=8 d=1.70428 t=15849
zhuo shang 	桌上	c=1 d=1 t=10617
zhuo zi 	桌子	c=1 d=1 t=11511
zi 	子	c=1 d=0.000953854 t=16418
zi 	字	c=3 d=1.71262e-06 t=16418
zi 	紫	c=1 d=1 t=10415
zi 	自	c=2 d=1.87921e-11 t=16418
zi bi 	自闭	c=1 d=0.00118528 t=16418
zi bi le 	自闭了	c=1 d=0.00657159 t=16418
zi bu shu 	子部署	c=1 d=1 t=7532
zi dai 	自带	c=1 d=1 t=10398
zi ding yi 	自定义	c=7 d=0.203934 t=16418
zi dong 	自动	c=14 d=0.00551131 t=16418
zi fu 	字符	c=2 d=1.41319e-10 t=16418
zi fu chuan 	字符串	c=2 d=1 t=11975
zi ji 	子集	c=1 d=1 t=15407
zi ji 	自己	c=16 d=0.746457 t=16418
zi ji le 	自己了	c=1 d=0.126818 t=16418
zi jian 	自建	c=21 d=1.46261 t=16418
zi jin 	资金	c=1 d=1 t=9311
zi liao 	资料	c=9 d=0.771206 t=16418
zi liao dang an 	资料档案	c=1 d=1 t=15073
zi liao shen he 	资料审核	c=1 d=1 t=10643
zi mu 	字幕	c=2 d=1.99005 t=13973
zi run 	滋润	c=1 d=1 t=9213
zi shu 	自述	c=1 d=1 t=6692
zi ti 	字体	c=5 d=3.89818e-06 t=16418
zi tuo guan 	自托管	c=1 d=1.88863e-10 t=16418
zi ying 	自营	c=0 d=0.1 t=6077
zi ying ting 	自营厅	c=1 d=1 t=6078
zi yong 	自用	c=2 d=5.8164e-08 t=16418
zi you 	自由	c=2 d=0.283654 t=16418
zi yuan 	资源	c=2 d=0.532592 t=16418
zi zhi qu 	自治区	c=3 d=0.000187285 t=16418
zi zu 	自组	c=3 d=2.81884 t=10754
zong 	宗	c=1 d=2.14454e-05 t=16418
zong 	总	c=9 d=1.00407 t=16362
zong biao 	总表	c=1 d=1 t=15252
zong de 	总的	c=1 d=1.84614e-07 t=16418
zong dei 	总得	c=1 d=1 t=10729
zong gong 	总共	c=1 d=0.000652304 t=16418
zong ji 	总计	c=7 d=1.12057 t=15629
